ip_distance_km,device_trust_score,time_since_last_login_hrs,dns_response_time_ms,ssl_cert_valid,domain_age_days,login_hour,failed_login_attempts,browser_fingerprint_match,geolocation_match,risk_level
7260.401426,0.038267484,0.37118028,80,0,80.94689397,5,3,0,1,1
3.4006147,0.924647901,14.76998812,16.12692515,1,2214.995016,14,1,1,0,0
19.90726137,0.720537616,2.205194872,27.26377773,1,3499.322443,10,0,1,1,0
5.464365482,0.855388158,16.64890575,29.72597537,1,1296.32112,11,0,1,1,0
0,0.901738149,22.60524723,17.49382946,1,2209.053882,21,1,1,1,0
1.835915503,0.983420878,20.56952132,15.88232515,1,2839.632981,6,0,1,1,0
7.438007138,0.886724092,60.1415015,16.25321155,1,1173.109147,8,0,0,1,0
6157.819666,0.144917199,0.37118028,132.0357348,0,51.53652213,20,3,1,0,2
18.56240029,0.76405341,0.240693561,27.26308373,1,1955.640163,18,0,1,1,0
9.865016438,0.95154755,4.785813555,22.51545184,1,467.0218378,13,0,1,1,0
0,0.753228631,13.04333296,26.09097356,1,779.3622066,22,0,1,1,0
4.939290885,0.702495983,7.269794226,13.54719289,1,2065.413986,15,1,1,0,0
7.010990467,0.811282302,39.81653598,17.32621665,1,2148.354665,19,1,0,0,0
6.818662551,0.812365866,5.800421561,8.040218978,1,3132.791537,11,0,1,1,0
26.53182458,0.791593203,15.84149515,20.11315426,1,3114.096342,10,0,1,1,0
9.621034743,0.719561377,20.40124462,21.09267021,1,1418.06452,10,1,1,0,0
6.867667645,0.942470563,88.23790211,16.66575642,1,1431.004343,11,0,1,1,0
5.996513651,0.902940381,53.06411386,21.12880762,1,536.9134362,14,0,1,1,0
1741.514695,0.029732349,0.37118028,142.2654834,0,20.89138914,2,1,1,1,2
2596.957779,0.170980213,0.37118028,158.2745782,0,39.41378105,4,2,0,0,2
0,0.78273027,16.75232584,20.22179399,1,3001.725762,20,1,1,1,0
5571.753013,0.391780305,273.3356631,156.9317514,0,31.9183652,12,3,1,0,1
2821.648771,0.146666871,273.3356631,139.5897371,0,28.06225535,4,2,0,1,1
25.76747984,0.950747778,38.99068475,20.55899579,1,1624.910873,11,0,1,1,0
5707.060598,0.309931107,0.37118028,107.8950655,0,13.28944544,18,4,0,0,1
2.654128666,0.760744168,10.35801741,19.38971434,1,1949.989704,13,0,1,1,0
0,0.990110583,19.58783127,18.76123791,1,2545.555485,21,0,1,0,0
4.102643057,0.722871765,4.672172988,18.9201974,1,1859.513302,6,0,1,1,0
7.715788372,0.785282228,18.11750836,20.51242321,1,683.0495313,9,1,1,0,0
2.083062502,0.896943582,6.404127403,13.71065922,1,1522.078753,12,1,0,1,0
5.557249123,0.988340646,14.74956659,19.70086928,1,1187.83648,17,0,1,1,0
23.46636996,0.816449712,3.019466995,21.04735042,1,1069.845434,22,0,0,0,0
8.269273738,0.833925855,25.68273005,15.71574067,1,3056.723189,21,0,1,0,0
12.46253566,0.811521788,2.260208661,17.01166158,1,3132.494591,19,0,1,0,0
1.513478656,0.852076131,49.32110488,31.94185996,1,3366.880707,21,0,1,1,0
4.373209027,0.855233906,9.987341,24.29792436,1,2045.36173,15,1,0,1,0
3609.650468,0.393296575,273.3356631,130.4795407,0,2.718093088,15,4,0,0,2
8.885786045,0.993102086,16.07466567,17.75728582,1,3265.117872,12,0,1,1,0
